_id,date,center_name,attendance_count
49150981,2025-09-08,Phillips Community Center,63
49150982,2025-09-08,Paulson Community Center,15
49150983,2025-09-08,Warrington Community Center,36
49150984,2025-09-08,Magee Community Center,41
49150985,2025-09-08,Jefferson Community Center,33
49150986,2025-09-08,West Penn Community Center,79
49150987,2025-09-06,Arlington Community Center,2
49150988,2025-09-06,Brookline Community Center,12
49150989,2025-09-06,Ormsby Community Center,3
49150990,2025-09-06,Paulson Community Center,5
49150991,2025-09-06,Phillips Community Center,1
49150992,2025-09-06,Warrington Community Center,5
49150993,2025-09-06,Magee Community Center,7
49150994,2025-09-06,West Penn Community Center,54
49150995,2025-09-05,Brookline Community Center,18
49150996,2025-09-05,Arlington Community Center,14
49150997,2025-09-05,Ormsby Community Center,9
49150998,2025-09-05,Phillips Community Center,19
49150999,2025-09-05,Warrington Community Center,39
49151000,2025-09-05,Magee Community Center,26
49151001,2025-09-05,West Penn Community Center,119
49151002,2025-09-04,Arlington Community Center,9
49151003,2025-09-04,Brookline Community Center,40
49151004,2025-09-04,Ormsby Community Center,8
49151005,2025-09-04,Phillips Community Center,50
49151006,2025-09-04,Paulson Community Center,12
49151007,2025-09-04,Warrington Community Center,17
49151008,2025-09-04,Magee Community Center,29
49151009,2025-09-04,West Penn Community Center,109
49151010,2025-09-03,Brookline Community Center,21
49151011,2025-09-03,Arlington Community Center,10
49151012,2025-09-03,Ormsby Community Center,14
49151013,2025-09-03,Paulson Community Center,21
49151014,2025-09-03,Phillips Community Center,46
49151015,2025-09-03,Warrington Community Center,39
49151016,2025-09-03,Magee Community Center,34
49151017,2025-09-03,Jefferson Community Center,16
49151018,2025-09-03,West Penn Community Center,76
49151019,2025-09-02,Arlington Community Center,10
49151020,2025-09-02,Brookline Community Center,42
49151021,2025-09-02,Ormsby Community Center,20
49151022,2025-09-02,Phillips Community Center,40
49151023,2025-09-02,Paulson Community Center,25
49151024,2025-09-02,Warrington Community Center,28
49151025,2025-09-02,Magee Community Center,29
49151026,2025-09-02,West Penn Community Center,51
49151027,2025-08-29,Brookline Community Center,27
49151028,2025-08-29,Ormsby Community Center,16
49151029,2025-08-29,Paulson Community Center,9
49151030,2025-08-29,Phillips Community Center,34
49151031,2025-08-29,Warrington Community Center,25
49151032,2025-08-29,Magee Community Center,20
49151033,2025-08-29,West Penn Community Center,33
49151034,2025-08-28,Brookline Community Center,27
49151035,2025-08-28,Arlington Community Center,10
49151036,2025-08-28,Ormsby Community Center,10
49151037,2025-08-28,Phillips Community Center,36
49151038,2025-08-28,Paulson Community Center,24
49151039,2025-08-28,Warrington Community Center,47
49151040,2025-08-28,Magee Community Center,18
49151041,2025-08-28,West Penn Community Center,129
49151042,2025-08-27,Arlington Community Center,2
49151043,2025-08-27,Brookline Community Center,19
49151044,2025-08-27,Ormsby Community Center,17
49151045,2025-08-27,Phillips Community Center,47
49151046,2025-08-27,Warrington Community Center,38
49151047,2025-08-27,Magee Community Center,28
49151048,2025-08-27,West Penn Community Center,121
49151049,2025-08-26,Brookline Community Center,35
49151050,2025-08-26,Arlington Community Center,7
49151051,2025-08-26,Ormsby Community Center,8
49151052,2025-08-26,Phillips Community Center,21
49151053,2025-08-26,Paulson Community Center,27
49151054,2025-08-26,Warrington Community Center,19
49151055,2025-08-26,Magee Community Center,25
49151056,2025-08-26,West Penn Community Center,46
49151057,2025-08-25,Arlington Community Center,8
49151058,2025-08-25,Brookline Community Center,18
49151059,2025-08-25,Ormsby Community Center,16
49151060,2025-08-25,Paulson Community Center,28
49151061,2025-08-25,Phillips Community Center,18
49151062,2025-08-25,Warrington Community Center,15
49151063,2025-08-25,Magee Community Center,27
49151064,2025-08-25,West Penn Community Center,67
49151065,2025-08-23,Brookline Community Center,11
